"","n1","Freq"
"80921","the",111572
"82267","to",64472
"2731","and",55917
"42","a",55651
"56658","of",46742
"39149","in",38536
"38291","i",38311
"29502","for",25966
"40704","is",25055
"80847","that",24206
"91941","you",22048
"40866","it",21373
"57176","on",19011
"90020","with",16712
"88130","was",14760
"53573","my",14295
"1","",13310
"4497","at",13092
"6535","be",13023
"81413","this",12575
"35390","have",12342
"3768","are",11384
"11063","but",11312
"4144","as",11130
"35535","he",10049
"88446","we",9808
"55718","not",9475
"30469","from",8973
"74980","so",8883
"49877","me",8673
"40956","its",8344
"1943","all",7764
"89694","will",7515
"11208","by",7404
"81214","they",7318
"92030","your",7172
"42346","just",7155
"57690","or",7140
"69812","said",7121
"36717","his",6998
"250","about",6990
"58110","out",6975
"2649","an",6967
"85905","up",6781
"57225","one",6730
"38531","if",6517
"89132","what",6423
"89211","when",6250
"46136","like",6155
"35247","has",6041
"11704","can",5809
"89419","who",5783
"38797","im",5776
"52494","more",5636
"22168","do",5576
"34356","had",5472
"31868","get",5308
"88957","were",5102
"81118","there",4977
"81964","time",4972
"36079","her",4868
"80985","their",4864
"90601","would",4747
"75276","some",4674
"55201","no",4660
"54611","new",4612
"72648","she",4608
"6814","been",4412
"58098","our",4394
"22498","dont",4167
"55894","now",4147
"37641","how",4143
"32824","good",4079
"19423","day",3890
"47295","love",3821
"43727","know",3813
"81002","them",3744
"60186","people",3737
"86135","us",3419
"80795","than",3319
"89254","which",3314
"5350","back",3285
"71545","see",3280
"32527","go",3264
"28546","first",3195
"40346","into",3161
"48262","make",3077
"2248","also",3070
"1209","after",2987
"58042","other",2973
"81333","think",2972
"32693","going",2963
"57386","only",2930
"33431","great",2926
"81036","then",2898
"88770","well",2896
"6706","because",2884
"44890","last",2877
"36596","him",2863
"58330","over",2854
"53050","much",2798
"2340","am",2736
"82606","too",2693
"91620","year",2676
"88345","way",2654
"17360","could",2649
"65863","really",2610
"26110","even",2609
"87993","want",2584
"84468","two",2578
"33030","got",2556
"82303","today",2531
"77295","still",2452
"21168","did",2447
"90413","work",2439
"68162","right",2426
"91651","years",2327
"80807","thanks",2291
"86951","very",2290
"36106","here",2268
"56668","off",2255
"54292","need",2227
"89226","where",2211
"48682","many",2159
"3306","any",2158
"52686","most",2156
"80886","thats",2124
"6866","before",2108
"81513","those",2096
"22750","down",2088
"69227","rt",2076
"11855","cant",2039
"70488","say",2022
"15671","come",2004
"46507","little",2000
"6964","being",1996
"73134","should",1996
"79567","take",1995
"45998","life",1961
"54594","never",1947
"81181","these",1934
"47988","made",1894
"89262","while",1860
"49482","may",1851
"37086","home",1828
"81692","through",1820
"88627","week",1815
"7369","best",1805
"89499","why",1797
"81282","things",1757
"54748","next",1756
"70827","school",1721
"54951","night",1683
"31153","game",1654
"46877","lol",1625
"75309","something",1609
"26180","every",1592
"3963","around",1573
"2323","always",1568
"3034","another",1568
"21178","didnt",1568
"7474","better",1558
"90503","world",1549
"76882","state",1543
"41026","ive",1542
"47051","look",1501
"34969","happy",1499
"73165","show",1487
"92033","youre",1476
"7684","big",1455
"70017","same",1450
"1243","again",1415
"28067","few",1402
"46963","long",1401
"78248","such",1387
"78776","sure",1382
"73683","since",1367
"27797","feel",1365
"48440","man",1363
"14410","city",1360
"37338","hope",1347
"35980","help",1344
"81267","thing",1328
"81583","three",1324
"47203","lot",1318
"86169","use",1313
"58641","own",1300
"29337","follow",1297
"28369","find",1256
"31892","getting",1236
"38696","ill",1235
"19480","days",1216
"26138","ever",1214
"61489","place",1210
"80092","team",1210
"37592","house",1200
"42860","keep",1198
"70503","says",1194
"27219","family",1190
"23761","each",1178
"9352","both",1165
"85839","until",1153
"59390","part",1151
"64520","put",1151
"22258","does",1150
"45710","let",1137
"81522","though",1134
"82559","tonight",1133
"32227","give",1127
"80799","thank",1121
"25099","end",1119
"22324","doing",1112
"52561","morning",1089
"47059","looking",1088
"9070","book",1087
"36397","high",1087
"61888","pm",1087
"56997","old",1086
"76844","start",1082
"51062","might",1074
"61635","play",1071
"26196","everyone",1069
"36226","hes",1055
"86172","used",1044
"80767","th",1042
"81528","thought",1040
"71361","season",1039
"5089","away",1036
"11516","call",1033
"30365","friends",1030
"30143","free",1017
"22456","done",1016
"29817","found",1015
"52229","money",1014
"82417","told",1014
"91734","yes",1014
"23582","during",1013
"45395","left",1013
"76555","st",1013
"30753","fun",1012
"56834","oh",1003
"35410","having",985
"46527","live",983
"61723","please",982
"90050","without",976
"32585","god",975
"80370","tell",975
"75291","someone",955
"11615","came",951
"82020","times",947
"5485","bad",946
"25307","enough",941
"22260","doesnt",936
"63246","pretty",934
"48293","making",923
"88939","went",923
"65826","real",920
"91775","yet",913
"60258","percent",911
"87799","wait",907
"35024","hard",906
"83883","try",904
"61984","point",903
"72193","set",896
"81147","theres",891
"1259","against",882
"53432","music",880
"83894","trying",878
"57194","once",877
"15731","coming",876
"29414","food",876
"82620","took",875
"7500","between",872
"48283","makes",870
"11526","called",867
"2231","already",866
"53482","must",862
"71430","second",862
"90452","working",860
"700","actually",856
"88637","weekend",855
"41837","job",852
"85109","under",849
"54833","nice",842
"65767","read",836
"51227","million",835
"89780","win",833
"69421","run",831
"77554","story",818
"49491","maybe",807
"68876","room",807
"45311","least",806
"75418","soon",806
"53806","name",805
"82671","top",805
"55762","nothing",802
"77487","stop",797
"26207","everything",796
"64162","public",796
"21251","different",789
"82379","together",789
"7018","believe",785
"84429","twitter",784
"17451","county",781
"60484","person",781
"82516","tomorrow",780
"11015","business",778
"3330","anything",776
"27345","far",771
"30325","friday",770
"44942","later",769
"59543","past",764
"29835","four",762
"1347","ago",759
"34231","guys",757
"38424","id",754
"23806","early",748
"35538","head",748
"13490","check",747
"8028","bit",744
"13222","change",740
"62064","police",740
"13802","children",737
"43358","kind",736
"17487","course",735
"5107","awesome",732
"57521","open",732
"3322","anyone",730
"76847","started",730
"74556","small",724
"89345","white",724
"32161","girl",723
"12940","center",714
"59447","party",710
"77931","students",710
"43246","kids",707
"63476","probably",706
"40791","isnt",701
"65808","ready",699
"79631","talk",699
"88233","water",698
"51479","minutes",696
"87995","wanted",693
"36282","hey",691
"88215","watching",689
"12095","care",686
"39261","including",685
"89157","whats",682
"52363","month",681
"70468","saw",681
"211","able",678
"12396","case",677
"15902","company",675
"29780","forward",673
"2176","almost",671
"2392","amazing",668
"36753","hit",667
"62499","post",666
"45677","less",662
"88658","weeks",661
"89433","whole",661
"33809","group",657
"30352","friend",655
"35670","heart",655
"52374","months",655
"67002","remember",655
"46281","line",653
"73402","side",653
"58047","others",651
"92000","young",650
"27611","favorite",649
"51646","miss",647
"54685","news",647
"30702","full",644
"81223","theyre",644
"88168","wasnt",639
"2199","along",638
"53637","myself",638
"56716","office",637
"45723","lets",636
"37587","hours",632
"51299","mind",630
"59770","pay",630
"49905","mean",629
"88198","watch",628
"8448","blog",627
"35653","hear",626
"86210","using",625
"79591","taking",624
"27001","fact",623
"71580","seen",623
"63165","president",619
"83795","true",618
"91598","yeah",617
"52879","movie",614
"56795","often",613
"34537","half",611
"46722","local",611
"14555","class",610
"4252","asked",609
"15700","comes",609
"78736","support",608
"34408","haha",604
"31190","games",599
"90220","women",599
"28678","five",598
"61667","playing",597
"35325","hate",596
"70375","saturday",596
"33089","government",594
"34228","guy",594
"16899","cool",593
"72261","several",592
"12009","car",590
"29364","following",590
"78440","summer",587
"10111","bring",584
"89977","wish",582
"61535","plan",581
"47196","lost",580
"75321","sometimes",578
"6668","beautiful",576
"44923","late",576
"3769","area",572
"6742","become",572
