"","n1","Freq"
"8126","black",571
"52861","move",570
"90268","wont",568
"32810","gonna",566
"38431","idea",564
"62700","power",564
"24713","else",563
"37654","however",563
"54012","national",563
"2490","american",559
"481","according",557
"5296","baby",557
"41915","john",555
"17462","couple",554
"54313","needs",552
"28340","finally",549
"35620","health",549
"26937","face",545
"77960","stuff",545
"72152","service",544
"78510","sunday",544
"17434","country",543
"77719","street",542
"29699","former",541
"45095","law",541
"75874","special",541
"47064","looks",540
"90379","word",540
"15871","community",536
"52205","monday",534
"26390","excited",533
"58270","outside",533
"76917","states",533
"76974","stay",533
"81340","thinking",533
"742","add",531
"70493","saying",528
"56081","number",526
"7969","birthday",525
"63660","program",525
"45314","leave",522
"68459","road",522
"75362","song",522
"18726","cut",521
"59310","park",521
"14895","close",519
"66278","red",515
"71579","seems",515
"72097","series",515
"46437","list",514
"90757","writing",514
"63700","project",512
"49933","means",511
"6931","behind",508
"75508","sorry",508
"17493","court",507
"4243","ask",505
"9109","books",505
"64929","quite",505
"69449","running",505
"72542","share",501
"63488","problem",499
"37510","hot",498
"65790","reading",498
"79643","talking",497
"90397","words",497
"11155","buy",496
"39998","instead",495
"84151","turn",495
"39037","important",494
"50333","men",493
"60849","phone",492
"89245","whether",492
"25264","enjoy",490
"26607","experience",490
"19626","deal",488
"65565","rather",488
"32663","goes",487
"46079","light",487
"24421","either",486
"35655","heard",484
"39622","information",484
"52143","mom",483
"24764","email",480
"15504","college",479
"34764","hand",478
"88005","wants",478
"8703","board",475
"8797","body",475
"31474","gave",475
"81779","thursday",474
"3607","april",473
"19792","decided",473
"62004","points",473
"79380","system",473
"90769","wrong",471
"91913","york",469
"26126","event",468
"32181","girls",467
"87093","video",467
"35400","havent",466
"50112","meet",466
"28294","film",465
"49367","matter",465
"37581","hour",464
"50290","members",464
"48930","market",462
"56927","ok",462
"57747","order",462
"75038","social",462
"85531","university",461
"90205","woman",458
"31884","gets",457
"43659","knew",457
"67555","rest",457
"10695","building",454
"25814","especially",454
"64816","question",454
"74297","sleep",454
"34005","guess",453
"72788","shes",453
"75622","south",452
"4039","art",450
"36748","history",449
"50116","meeting",449
"76852","starting",449
"6822","beer",448
"32231","given",448
"27804","feeling",447
"19667","death",446
"46579","living",445
"17363","couldnt",444
"65928","reason",443
"79579","taken",443
"15071","coach",440
"54213","near",439
"30896","future",438
"52712","mother",438
"27890","felt",437
"56310","obama",435
"61645","played",435
"27153","fall",434
"73903","six",434
"23910","eat",433
"44811","large",433
"60298","perfect",433
"83999","tuesday",432
"73061","short",431
"88752","welcome",431
"52152","moment",430
"79098","sweet",430
"32799","gone",429
"13201","chance",428
"23896","easy",427
"50003","media",427
"84295","tweet",427
"33482","green",426
"70073","san",426
"73726","single",425
"81367","third",425
"27756","federal",423
"30482","front",423
"28328","final",421
"4972","available",420
"12666","cause",420
"14177","church",420
"61054","picture",420
"21506","director",419
"48758","march",419
"59277","parents",419
"90044","within",419
"23109","drive",418
"56731","officials",418
"52952","mr",417
"7783","bill",415
"62492","possible",415
"73863","site",415
"45229","lead",414
"67260","report",414
"90238","wonderful",412
"643","across",411
"61008","pick",411
"27306","fans",410
"73120","shot",410
"92044","yourself",410
"6750","bed",409
"13777","child",408
"32257","glad",408
"54295","needed",408
"57302","ones",407
"82952","town",407
"2576","among",406
"12058","card",406
"77516","store",405
"17823","crazy",404
"30817","funny",404
"87865","walk",403
"88601","wednesday",402
"90740","write",401
"750","added",400
"34476","hair",399
"45292","learn",399
"89060","weve",398
"90479","works",398
"32243","giving",396
"87351","visit",396
"9534","boy",395
"71562","seeing",395
"34946","happen",394
"9837","break",392
"20479","department",391
"2288","although",390
"21980","district",390
"31632","general",390
"55652","north",390
"61652","players",390
"83555","tried",386
"43754","known",385
"90584","worth",385
"70861","schools",384
"75348","son",384
"79972","tax",384
"75593","sounds",383
"34950","happened",382
"63526","process",382
"85204","understand",382
"47303","loved",381
"76349","spring",381
"77851","strong",381
"83619","trip",381
"88987","west",381
"90231","won",381
"46557","lives",380
"66201","record",380
"75704","space",380
"87988","wanna",380
"5955","bar",379
"21429","dinner",379
"40175","interesting",379
"60488","personal",379
"90437","worked",379
"28425","finished",378
"48241","major",378
"91991","youll",378
"26941","facebook",377
"40836","issue",376
"41854","jobs",375
"47055","looked",375
"73215","shows",375
"76011","spent",375
"88015","war",375
"39899","inside",374
"78595","super",374
"87811","waiting",374
"26876","eyes",373
"6223","based",372
"84247","tv",372
"46981","longer",371
"79586","takes",371
"14658","clear",370
"28155","field",370
"57377","online",370
"68582","rock",370
"86063","ur",370
"90607","wouldnt",370
"41619","jersey",369
"71972","sense",369
"23800","earlier",367
"71926","send",367
"44327","la",363
"28380","fine",361
"13705","chicago",360
"13153","challenge",359
"1522","air",358
"84158","turned",358
"24182","education",357
"28468","fire",357
"47214","lots",357
"37869","huge",356
"17867","create",355
"90618","wow",353
"14973","club",351
"36967","hold",351
"39255","include",350
"46149","likely",350
"50942","middle",350
"59127","paper",350
"64828","questions",345
"20032","definitely",341
"72163","services",341
"9572","boys",340
"66066","recently",340
"1281","age",339
"35911","held",339
"71999","sent",339
"18623","current",338
"54226","nearly",338
"48921","mark",337
"91753","yesterday",337
"91432","ya",336
"62094","political",335
"67394","research",335
"264","above",334
"15402","cold",334
"36612","himself",334
"88152","washington",334
"16272","conference",333
"16701","continue",333
"40182","interests",332
"45767","level",332
"61076","piece",332
"17283","cost",330
"47655","lunch",330
"15289","coffee",329
"19589","dead",329
"56933","okay",329
"11651","campaign",328
"56855","ohio",328
"60246","per",328
"67728","return",328
"43757","knows",327
"63498","problems",327
"76720","stand",327
"29632","forget",326
"88505","weather",326
"58813","page",325
"61561","plans",324
"47537","luck",323
"75578","sound",323
"69094","round",322
"73649","simply",322
"88372","ways",322
"65014","race",321
"71575","seem",321
"73485","sign",321
"80133","teams",321
"91644","yearold",321
"16766","control",320
"66056","received",320
"8583","blue",319
"25179","energy",319
"41655","jesus",319
"76604","staff",319
"89588","wife",318
"5710","ball",317
"19804","decision",316
"92089","youve",316
"22269","dog",315
"41938","join",315
"50618","met",315
"22544","door",314
"27819","feet",314
"60337","perhaps",314
"90233","wonder",314
"23872","east",313
"42286","june",313
"7801","billion",312
"28207","fight",312
"38101","husband",312
"73634","simple",311
"88563","website",311
"3056","answer",310
"21267","difficult",310
"89829","wine",310
"6622","beat",309
"6881","began",309
"14091","christmas",309
"15897","companies",308
"27527","father",307
"37916","human",307
"70437","save",307
"10347","brown",306
"26323","example",306
"29673","form",306
"66065","recent",306
"77535","stories",306
"6700","became",305
"76265","sports",305
"2488","america",303
"52900","moving",303
"76002","spend",303
"86244","usually",303
"76788","star",302
"78224","success",302
"22978","dream",301
"26574","expected",301
"34834","hands",301
"73882","sitting",301
"3784","arent",300
"10607","budget",299
"83123","training",299
"90791","wrote",299
"10340","brought",298
"21201","died",298
"51649","missed",298
"12099","career",296
"45255","league",296
"52728","mothers",296
"17544","cover",295
"19379","david",295
"27252","fan",295
"32531","goal",295
"40840","issues",295
"89480","whose",295
"648","act",294
"33048","gotta",294
"61649","player",294
"14724","cleveland",293
"26298","exactly",293
"83871","truth",293
"35724","heat",292
"23395","due",291
"40172","interest",291
"47377","low",291
"56703","offer",291
"59495","pass",291
"72107","seriously",291
"654","action",290
"20692","design",290
"63295","price",290
"78487","sun",290
"63978","provide",289
"22864","dr",288
"5822","band",285
"11832","cannot",285
"67565","restaurant",285
"19227","dark",284
"77121","step",284
"89142","whatever",284
"25401","entire",282
"28423","finish",282
"81028","themselves",282
"29350","followers",281
"52863","moved",279
"82833","totally",279
"87483","voice",279
"11059","busy",278
"23085","drink",278
"13228","changed",277
"58833","paid",277
"63714","projects",277
"77924","student",277
"16364","congrats",276
"18553","cup",276
"38445","ideas",276
"56897","oil",276
"82890","tour",276
"85510","united",276
"87589","vote",276
"24041","economic",275
"41234","james",275
"72228","seven",275
"18912","dad",273
"45296","learning",273
"55735","note",273
"59707","paul",273
"29255","focus",272
"13965","choice",271
"47255","louis",271
"62762","practice",271
"69898","sales",271
"76007","spending",271
"80731","text",271
"83024","track",271
"5889","bank",270
"6537","beach",270
"9512","box",270
"11550","calls",270
"10327","brother",269
"29341","followed",269
"44654","land",269
"48199","main",269
"61060","pictures",269
"61859","plus",269
"76860","starts",269
"79419","table",269
"82146","tired",269
"36124","heres",268
"50584","message",268
"51144","miles",268
"69708","sad",268
"90440","workers",268
"1218","afternoon",267
"4649","attention",267
"19323","date",267
"63428","private",267
"27468","fast",266
"37484","hospital",266
"40228","international",266
"2194","alone",265
"40317","interview",265
"63182","press",265
"73854","sit",265
"18956","daily",264
"19916","deep",264
"26439","executive",264
"57540","opening",264
"29464","football",263
"17372","council",262
"34296","ha",262
"51339","mine",262
"76290","spot",262
"87138","view",262
"13027","certain",261
"40969","itself",261
"57616","opportunity",261
"72105","serious",260
"77607","straight",260
"86964","vested",260
"90761","written",260
"20913","development",259
"23923","eating",259
"36331","hi",259
"43022","kept",259
"45354","led",259
"62462","position",259
"63956","proud",259
"66897","release",259
"15573","color",258
"15995","completely",258
"43214","kid",258
"45293","learned",258
"81838","tickets",258
"6889","begin",257
"28354","financial",257
"50831","michael",257
"69753","safe",257
"84594","type",257
"15777","comment",256
"15993","complete",256
"35982","helped",256
"62410","portland",256
"64857","quickly",256
"66898","released",256
"71946","senior",256
"9397","bought",255
"13298","character",255
"24051","economy",255
"26770","extra",255
"19311","data",254
"20757","despite",254
"33839","growing",254
"85994","upon",254
"89479","whos",254
"57841","original",253
"78030","style",253
"1365","agree",252
"68730","role",252
"485","account",251
"14056","chris",251
"47132","lord",251
"47334","lovely",251
"65214","rain",251
"87896","wall",251
"30279","fresh",250
"34616","hall",250
"42248","july",250
"43092","key",250
"50288","member",250
"73845","sister",250
"60350","period",249
"2090","allow",248
"9493","bowl",248
"61508","places",248
"77951","study",248
"27866","fell",247
"36417","higher",247
"66870","relationship",247
"83855","trust",247
"13758","chief",246
"13993","choose",246
"42172","judge",246
"80654","test",245
"83829","truly",245
"3339","anyway",244
"11494","california",244
"19583","de",244
"26130","events",244
"60315","performance",244
"68824","romney",244
"19084","dance",243
"47186","loss",243
"50024","medical",243
"60914","photos",243
"13241","changes",242
"16873","cook",242
"27700","fear",242
"28231","figure",242
"33780","ground",242
"37522","hotel",242
"46445","listening",242
"51768","mix",242
"84328","tweets",242
"26117","evening",241
"26568","expect",241
"60883","photo",241
"68377","river",241
"13308","characters",240
"27813","feels",240
"1746","album",239
"18731","cute",239
"40173","interested",239
"73380","sick",239
"13029","certainly",238
"71514","security",238
"73024","shop",238
"23126","driving",237
"38086","hurt",237
"65746","reach",237
"48451","manager",236
"75195","sold",236
"20808","details",235
"68191","rights",235
"73949","size",235
"82824","total",235
"88482","wear",235
"16496","consider",234
"26845","eye",234
"30863","further",234
"32019","gift",234
"17868","created",233
"22872","draft",233
"43506","kitchen",233
"45318","leaving",233
"4258","asking",232
"7529","beyond",232
"11541","calling",232
"13733","chicken",232
"19345","daughter",232
"19993","defense",232
"40236","internet",232
"40503","involved",232
"50408","mention",232
"64695","quality",232
"65556","rate",232
"68098","ride",232
"32238","gives",231
"51099","mike",231
"73890","situation",231
"76901","statement",231
"7096","below",230
"12967","central",230
"39312","increase",230
"57767","oregon",230
"75518","sort",230
"21193","die",229
"34959","happens",229
"62271","poor",229
"63135","present",229
"69459","runs",229
"82878","tough",229
"13958","chocolate",228
"25924","etc",228
"51475","minute",228
"75850","speak",228
"2094","allowed",227
"27077","fair",227
"43395","king",227
"67323","republican",227
"71576","seemed",227
"81695","throughout",227
"82184","title",227
"87652","vs",227
"1418","ahead",225
"14633","clean",225
"15834","common",225
"62623","potential",225
"80074","teachers",225
"25266","enjoyed",224
"53810","named",224
"64846","quick",224
"67822","review",224
"88492","wearing",224
"89888","winning",224
"3770","areas",223
"7710","biggest",223
"45917","library",223
"64540","putting",223
"67618","result",223
"5006","average",222
"24979","employees",222
"45426","legal",222
"73608","similar",222
"13541","cheese",221
"14897","closed",221
"24352","eight",221
"44522","lake",221
"12566","catch",220
"38374","ice",220
"80071","teacher",220
"83114","train",220
"91472","yall",220
"8499","blood",219
"9252","born",219
"47177","lose",219
"16630","contact",218
"28652","fit",218
"33821","groups",218
"58840","pain",218
"314","absolutely",217
"1516","aint",217
"38808","image",217
"57528","opened",217
"72144","serve",217
"87868","walked",217
"203","ability",216
"4069","article",216
"22660","double",216
"52891","movies",216
"64731","quarter",216
"65350","ran",216
"66679","regular",216
"74657","smile",216
"87001","via",216
"3558","appreciate",215
"8434","block",215
"11405","cake",215
"49011","marriage",215
"85483","union",215
"90575","worst",215
"2984","announced",214
"36990","holiday",214
"37358","hoping",214
"46440","listen",214
"47547","lucky",214
"56727","official",214
"59505","passed",214
"67621","results",214
"73181","showed",214
"87877","walking",214
"6893","beginning",213
"11743","cancer",213
"18625","currently",213
"44448","lady",213
"76615","stage",213
"86937","version",213
"6272","basketball",212
"27217","families",212
"38820","imagine",212
"81539","thoughts",212
"89881","winner",212
"4675","attorney",211
"17879","creative",211
"29521","force",211
"31485","gay",211
"33850","growth",211
"69768","safety",211
"76935","station",211
"82854","touch",211
"17897","credit",210
"39477","industry",210
"63812","property",210
"68947","rose",210
"69373","rules",210
"2588","amount",209
"25113","ended",209
"43303","killed",209
"72145","served",209
"24241","effect",208
"51657","missing",208
"80379","telling",208
"10705","built",207
"29076","floor",207
"31294","garden",207
"33836","grow",207
"44388","lack",207
"61558","planning",207
"79913","taste",207
"6215","base",206
"24267","effort",206
"47966","mad",206
"70650","scene",206
"70946","science",206
"29876","fourth",205
"62326","popular",205
"31376","gas",204
"66215","records",204
"30618","fucking",203
"46337","link",203
"65855","realize",203
"67267","reports",203
"71342","search",203
"89913","winter",203
"4618","attack",202
"9380","bottom",202
"35641","healthy",202
"35658","hearing",202
"39256","included",202
"52691","mostly",202
"57437","onto",202
"59874","peace",202
"61686","plays",202
"67261","reported",202
"81700","throw",202
"15825","committee",201
"19653","dear",201
"29603","forever",201
"41881","joe",201
"56090","numbers",201
"67452","residents",201
"73496","signed",201
"80068","tea",201
"23383","dude",200
"27115","faith",200
"45242","leading",200
"45735","letter",200
"63305","prices",200
"65850","reality",200
"73038","shopping",200
"83398","tree",200
"16084","computer",199
"17847","cream",199
"65095","radio",199
"71011","scored",199
"88204","watched",199
"26182","everybody",198
"42865","keeping",198
"75069","society",198
"10689","build",197
"12407","cases",197
"32298","glass",197
"38887","immediately",197
"6216","baseball",195
"18708","customers",195
"44955","latest",195
"81936","till",195
"82930","toward",195
"83080","traffic",195
"12089","cards",194
"17307","costs",194
"23154","drop",194
"25231","english",194
"30246","french",194
"54052","natural",194
"63588","products",194
"82327","todays",194
"1294","agency",193
"45231","leader",193
"46534","lived",193
"72184","session",193
"83052","trade",193
"86605","various",193
"3458","apparently",192
"21248","difference",192
"29462","foot",192
"31755","george",192
"58338","overall",192
"68742","roll",192
"86482","value",192
"1367","agreed",191
"28276","filled",191
"33232","grand",191
"47396","lower",191
"56722","officer",191
"62075","policy",191
"69884","sale",191
"78090","subject",191
"88061","warm",191
"3002","annual",190
"4878","author",190
"26231","evidence",190
"26363","except",190
"35951","hello",190
"59413","particular",190
"61014","picked",190
"80565","terms",190
"15491","collection",189
"23839","earth",189
"26136","eventually",189
"47345","loves",189
"75858","speaking",189
"22820","downtown",188
"39259","includes",188
"70325","sat",188
"71829","sell",188
"75373","songs",188
"80226","technology",188
"10995","bus",187
"12310","cars",187
"24493","election",187
"40907","items",187
"46305","lines",187
"49518","mayor",187
"1025","advice",186
"46140","liked",186
"77504","stopped",186
"82450","tom",186
"37342","hopefully",185
"54064","nature",185
"63270","previous",185
"83317","travel",185
"19544","dc",184
"41306","january",184
"45236","leaders",184
"54190","nd",184
"67538","response",184
"74675","smith",184
"78322","sugar",184
"85563","unless",184
"87597","voters",184
"761","adding",183
"48939","marketing",183
"70388","sauce",183
"76453","square",183
"78227","successful",183
"80721","texas",183
"765","addition",182
"12652","caught",182
"28602","fish",182
"55867","novel",182
"59442","parts",182
"66055","receive",182
"69594","ryan",182
"3509","apple",181
"23001","dreams",181
"54366","neighborhood",181
"62469","positive",181
"74920","snow",181
"425","access",180
"12417","cash",180
"14670","clearly",180
"16151","concert",180
"16813","conversation",180
"18235","crowd",180
"19791","decide",180
"42353","justice",180
"49936","meant",180
"78008","stupid",180
"777","address",179
"4003","arrived",179
"5045","avoid",179
"6425","bay",179
"65562","rates",179
"67515","respect",179
"80441","ten",179
"16503","considered",178
"17392","count",178
"29106","florida",178
"35283","hasnt",178
"43298","kill",178
"57002","older",178
"72989","shoes",178
"77392","stock",178
"88720","weird",178
"9659","brain",177
"13330","charges",177
"16889","cooking",177
"27062","failed",177
"32907","google",177
"47371","loving",177
"53415","museum",177
"61081","pieces",177
"76115","spirit",177
"86461","valley",177
"2502","americans",176
"10177","bro",176
"65254","raise",176
"74465","slow",176
"79978","taxes",176
"80382","tells",176
"3315","anymore",175
"28375","finding",175
"66107","recipe",175
"74069","skills",175
"87086","victory",175
"88697","weight",175
"5539","bag",174
"32397","global",174
"32717","gold",174
"47174","los",174
"55631","normal",174
"57700","orange",174
"9846","breakfast",173
"22304","dogs",173
"29320","folks",173
"35988","helping",173
"45316","leaves",173
"52867","movement",173
"65728","rd",173
"75557","soul",173
"4411","association",172
"14558","classes",172
"51166","military",172
"73016","shooting",172
"76739","standing",172
"89641","wild",172
"11092","butter",171
"16721","contract",171
"23029","dress",171
"54978","nights",171
"56704","offered",171
"59321","parking",171
"63671","programs",171
"66974","remain",171
"84371","twice",171
"91841","yo",171
"17109","corner",170
"39606","info",170
"49270","match",170
"59415","particularly",170
"62520","posted",170
"71378","seat",170
"77210","steve",170
"9462","bout",169
"10247","broken",169
"13860","china",169
"14934","clothes",169
"18517","culture",169
"22702","doubt",169
"23172","dropped",169
"36973","holding",169
"49956","meat",169
"54258","necessary",169
"54772","nfl",169
"65255","raised",169
"68321","risk",169
"80544","term",169
"90557","worse",169
"91956","youd",169
"5075","award",168
"34413","hahaha",168
"55396","none",168
"66978","remains",168
"40061","insurance",167
"54533","network",167
"61565","plant",167
"63576","product",167
"65857","realized",167
"71006","score",167
"72561","sharing",167
"13325","charged",166
"36777","hits",166
"37145","homes",166
"57808","organization",166
"88583","wedding",166
"3445","app",165
"4092","artist",165
"11625","camera",165
"11649","camp",165
"14061","christ",165
"23091","drinking",165
"26398","exciting",165
"27329","fantastic",165
"48068","magic",165
"63340","primary",165
"65938","reasons",165
"71918","senate",165
"3864","arizona",164
"13323","charge",164
"20094","degree",164
"23262","dry",164
"39353","indeed",164
"41094","jack",164
"41995","jones",164
"55775","notice",164
"60953","physical",164
"63604","professional",164
"83751","trouble",164
"7165","benefits",163
"21496","direction",163
"33965","guard",163
"65748","reached",163
"69365","rule",163
"73200","showing",163
"75281","somebody",163
"90552","worry",163
"4738","audience",162
"11019","businesses",162
"15114","coast",162
"19715","debt",162
"23862","easier",162
"27742","february",162
"68035","rich",162
"16666","content",161
"22357","dollars",161
"23204","drug",161
"41926","johnson",161
"54011","nation",161
"57588","opinion",161
"68523","robert",161
"71680","self",161
"73009","shoot",161
"74595","smart",161
"76216","spokesman",161
"89536","wide",161
"766","additional",160
"12487","cast",160
"14912","closer",160
"15789","comments",160
"25366","enter",160
"34954","happening",160
"62284","pop",160
"78753","supposed",160
"84181","turns",160
"18758","cuts",159
"39269","income",159
"51971","modern",159
"61461","pizza",159
"82931","towards",159
"89714","williams",159
"21304","digital",158
"27506","fat",158
"40458","investigation",158
"45009","laugh",158
"55049","nine",158
"58645","owner",158
"63745","promise",158
"85387","unfortunately",158
"16584","construction",157
"33162","grade",157
"46225","limited",157
"48448","management",157
"56707","offers",157
"64269","pull",157
"64271","pulled",157
"71131","screen",157
"71479","secret",157
"25268","enjoying",156
"32542","goals",156
"71291","sea",156
"76335","spread",156
"87833","wake",156
"89789","wind",156
"4887","authority",155
"16383","congress",155
"24270","efforts",155
"34871","hang",155
"40771","island",155
"42098","joy",155
"61554","planned",155
"81468","thomas",155
"6374","battle",154
"10152","british",154
"10334","brothers",154
"35552","headed",154
"35561","heading",154
"46156","likes",154
"50420","menu",154
"63579","production",154
"71468","seconds",154
"80078","teaching",154
"83068","traditional",154
